Player name,position,Games,Runs,Hits,home run,run batted in,Strikeouts,AVG,On-base Percentage
G Sanchez,1B,700,236,508,61,266,368,0.254,0.332
S Hogan,C,989,288,939,61,474,188,0.295,0.348
E Bouchee,1B,670,298,583,61,290,401,0.265,0.368
D Nicholson,LF,539,184,301,61,179,573,0.212,0.318
T Naquin,LF,557,226,439,61,237,468,0.264,0.318
R Mountcastle,1B,327,153,321,61,200,349,0.261,0.316
B Nash,3B,1549,1072,1606,60,977,384,0.275,0.366
H Anderson,LF,484,199,419,60,242,291,0.264,0.334
C Stengel,RF,1277,575,1219,60,535,453,0.284,0.356
E Cabell,3B,1688,753,1647,60,596,691,0.277,0.308
E Brinkman,SS,1846,550,1355,60,461,845,0.224,0.28
J Groth,CF,1248,480,1064,60,486,329,0.279,0.352
R Wrightstone,3B,930,427,889,60,425,152,0.297,0.349
A Russell,2B,615,256,480,60,253,532,0.242,0.312
B Aspromonte,2B,1324,386,1103,60,457,459,0.252,0.308
M LeCroy,C,476,146,361,60,218,332,0.26,0.326
M Aviles,SS,915,380,786,60,306,424,0.261,0.295
C Gomez,SS,1515,517,1206,60,486,750,0.262,0.325
R Baldelli,CF,519,281,531,60,262,388,0.278,0.323
F Merkle,1B,1645,720,1580,60,733,583,0.273,0.331
J Michaels,LF,1031,332,613,59,299,496,0.263,0.335
C Hickman,1B,921,478,1176,59,614,--,0.295,0.331
G Perry,1B,1193,383,832,59,396,374,0.265,0.333
D Glanville,CF,1115,553,1100,59,333,502,0.277,0.315
J Gerut,RF,574,246,472,59,226,261,0.262,0.325
D Kokos,RF,475,239,410,59,223,252,0.263,0.365
C Wilson,OF,1280,520,1246,59,571,407,0.269,0.311
A Craig,1B,534,239,506,59,296,394,0.276,0.333
W Schang,C,1841,768,1506,59,710,573,0.284,0.393
P Martin,3B,1189,756,1227,59,501,438,0.298,0.358
E Brown,LF,739,296,581,59,326,468,0.258,0.323
R LeFlore,CF,1099,731,1283,59,353,888,0.288,0.342
S Spencer,LF,538,208,438,59,242,357,0.262,0.326
B Sudakis,3B,530,177,362,59,214,313,0.234,0.311
A Phillips,CF,649,270,463,59,173,485,0.247,0.343
R Cerone,C,1329,393,998,59,436,450,0.245,0.301
P Wisdom,3B,285,135,194,59,140,372,0.217,0.301
H Zimmerman,3B,1459,695,1566,58,796,404,0.295,0.331
D Mesoraco,C,468,152,325,58,192,316,0.232,0.309
D Mirabelli,C,566,162,337,58,206,415,0.231,0.317
H Smith,C,879,269,715,58,323,361,0.267,0.317
J Foy,3B,716,355,615,58,291,405,0.248,0.351
E N??ez,SS,858,353,776,58,309,400,0.276,0.31
K Berry,CF,1384,422,1053,58,343,569,0.255,0.308
B Martinez,C,1049,245,618,58,321,419,0.225,0.284
W Wilmot,OF,960,725,1098,58,594,222,0.276,0.337
G Moore,RF,1042,497,958,58,436,401,0.27,0.333
J Wyrostek,OF,1221,526,1149,58,481,437,0.271,0.349
A Garc?a,RF,332,171,299,58,195,392,0.245,0.292
C Jones,LF,881,728,1101,56,542,124,0.299,0.347
D Wakefield,LF,638,334,625,56,315,270,0.293,0.396
E Webb,RF,651,326,661,56,333,202,0.306,0.381
B Knoop,2B,1153,337,856,56,331,833,0.236,0.296
R Jackson,1B,926,356,774,56,342,329,0.259,0.314
R N??ez,3B,307,137,258,56,154,296,0.245,0.308
M Mieske,RF,663,225,406,56,226,313,0.262,0.318
D Schofield,SS,1368,505,989,56,353,684,0.23,0.308
R Church,RF,654,251,500,56,267,459,0.264,0.336
N Lowe,1B,388,186,385,56,181,389,0.279,0.352
R Mueller,C,986,281,733,56,373,322,0.252,0.314
R Hudler,2B,774,261,461,56,169,325,0.261,0.296
R Manning,CF,1555,664,1349,56,458,616,0.257,0.317
N Reimold,LF,480,179,339,56,174,356,0.246,0.323
J Daubert,1B,2014,1116,2326,56,722,489,0.303,0.36
Y Torrealba,C,907,306,737,56,339,544,0.256,0.315
T Lampkin,C,777,224,422,56,236,286,0.235,0.319
J Mayberry,CF,574,172,326,56,180,351,0.235,0.299
B Bonnell,LF,976,363,833,56,355,387,0.272,0.323
J Sheckard,OF,1771,1296,2084,56,813,233,0.274,0.375
C O'Brien,C,800,216,493,56,261,354,0.221,0.303
P Hines,CF,1481,1083,1881,56,751,304,0.301,0.343
C Carrasquel,SS,1325,568,1199,55,474,467,0.258,0.333
G Alexander,C,432,169,293,55,202,381,0.23,0.311
H Perry,3B,529,241,461,55,246,291,0.272,0.335
V Saier,1B,865,455,775,55,395,369,0.263,0.351
D Jennings,CF,567,311,508,55,191,481,0.245,0.322
R Garko,1B,463,190,427,55,250,272,0.275,0.347
J Felix,RF,585,309,562,55,280,509,0.264,0.317
